Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,4.960000,5.014000,4.891000,4.917500,3.937545,142298038
2019-06-24,4.921000,4.974000,4.882500,4.917000,3.937145,11181919
2019-06-25,4.887000,4.893000,4.831000,4.878000,3.905917,35919204
2019-06-26,4.860500,4.930000,4.834000,4.894500,3.919129,19973132
2019-06-27,4.912500,4.972000,4.865000,4.903000,3.925935,15790997
2019-06-28,4.910500,4.934000,4.888000,4.917000,3.937145,13813382
2019-07-01,4.981000,5.026000,4.972500,4.973500,3.982386,18808913
2019-07-02,4.976500,4.992000,4.888000,4.930000,3.947554,16388393
2019-07-03,4.903000,5.027000,4.886000,5.027000,4.025224,14669463
2019-07-04,5.009000,5.098000,5.009000,5.087000,4.073267,21757370
2019-07-05,5.083000,5.135000,5.034000,5.078000,4.066061,15022491
2019-07-08,5.050000,5.082000,4.961000,4.985000,3.991594,15708142
2019-07-09,4.965000,4.972500,4.910500,4.951000,3.964370,42699352
2019-07-10,4.930000,5.004000,4.888000,4.944000,3.958764,28339432
2019-07-11,4.962500,4.973500,4.882500,4.930000,3.947554,26454725
2019-07-12,4.952000,4.985000,4.897500,4.897500,3.921531,23630590
2019-07-15,4.915000,4.941000,4.873000,4.925500,3.943952,14828628
2019-07-16,4.947500,5.008000,4.913500,4.971000,3.980384,30729369
2019-07-17,4.952000,4.965500,4.900000,4.905000,3.927536,22412190
2019-07-18,4.879000,4.894500,4.812000,4.855500,3.887901,35820658
2019-07-19,4.861000,4.901000,4.758500,4.780000,3.827446,22848128
2019-07-22,4.776500,4.791500,4.711000,4.744500,3.799021,16574992
2019-07-23,4.787000,4.902000,4.770500,4.879500,3.907118,18288079
2019-07-24,4.851000,4.905000,4.830000,4.878000,3.905917,14071344
2019-07-25,4.878000,5.046000,4.860000,4.894000,3.918728,28469733
2019-07-26,4.866500,4.887000,4.816500,4.833000,3.869884,15290892
2019-07-29,4.820500,4.848000,4.777500,4.802000,3.845062,11693378
2019-07-30,4.786500,4.793500,4.622500,4.656500,3.728557,31956350
2019-07-31,4.680000,4.725000,4.570000,4.599500,3.682916,25249381
2019-08-01,4.601000,4.722500,4.590000,4.635500,3.711742,20998227
2019-08-02,4.530000,4.587500,4.492500,4.522000,3.620860,27649101
2019-08-05,4.474000,4.502000,4.435000,4.460000,3.571216,20462325
2019-08-06,4.477500,4.486500,4.406500,4.414000,3.534383,18467932
2019-08-07,4.447000,4.485000,4.368000,4.407000,3.528778,22532031
2019-08-08,4.470000,4.538000,4.423000,4.517500,3.617257,17927341
2019-08-09,4.456500,4.484000,4.420000,4.436000,3.551999,23267682
2019-08-12,4.443500,4.451000,4.276000,4.276000,3.423883,21567369
2019-08-13,4.262500,4.395000,4.230000,4.353000,3.485538,27246213
